"nome","costruttore","inizio_produzione"
"Continental GT","Bentley",2007
"tC","Scion",2005
"MDX","Acura",2001
"Allroad","Audi",2004
"Prius","Toyota",2001
"CX","Citroën",1989
"Element","Honda",2009
"Impreza","Subaru",2002
"Dakota Club","Dodge",2006
"S-Series","Saturn",1997
"Altima","Nissan",1993
"Rabbit","Volkswagen",2010
"Mini Cooper","Austin",1964
"Mazda3","Mazda",2006
"Sedona","Kia",2006
"Challenger","Mitsubishi",2002
"Camry","Toyota",2010
"Q7","Audi",2011
"2500","Chevrolet",2000
"62","Maybach",2008
"Ramcharger","Dodge",1992
"ZX2","Ford",2002
"Electra","Buick",1990
"Hemisfear","Foose",2007
"S10","Chevrolet",1995
