"id","tipo","nazione","città","via","civico"
"6","Officina","Philippines","Alangilanan","48 Melvin Circle","5"
"47","Officina","Yemen","As Sūq al Jadīd","2 Rowland Pass","50"
"37","Officina","Brazil","Barra do Bugres","28 Hoepker Park","9"
"24","Officina","China","Basar","96501 Rieder Trail","0"
"12","Officina","Russia","Bizhbulyak","9 Village Way","088"
"30","Officina","Indonesia","Cilongkrangpusaka","1557 Atwood Drive","21"
"15","Officina","China","Dancheng","5360 Kinsman Place","6906"
"10","Officina","Thailand","Det Udom","848 Jenifer Terrace","558"
"34","Officina","Marshall Islands","Enewetak","146 Nancy Pass","066"
"45","Officina","China","Hongshunli","23322 Donald Plaza","438"
"14","Officina","China","Jingling","8 Milwaukee Plaza","536"
"32","Officina","North Korea","Kapsan-ŭp","2 Lawn Avenue","04331"
"21","Officina","Netherlands","Katwijk","28 Delaware Hill","4073"
"35","Officina","Indonesia","Kebonan","1702 Talisman Crossing","3"
"38","Officina","Afghanistan","Khānaqāh","97676 Cascade Trail","68"
"5","Officina","Russia","Krasnyye Chetai","6750 Northfield Crossing","278"
"39","Officina","China","Macheng","2934 Rockefeller Way","10161"
"49","Officina","Canada","Prince Edward","715 Emmet Alley","6613"
"28","Officina","Russia","Priyutovo","0 Brentwood Pass","92166"
"2","Officina","Poland","Rakszawa","8076 East Center","0"
"46","Officina","Vietnam","Sa Pá","766 Milwaukee Crossing","13"
"44","Officina","France","Saint-Priest-en-Jarez","9213 Burning Wood Junction","1359"
"29","Officina","Luxembourg","Sandweiler","5795 6th Alley","1644"
"22","Officina","Indonesia","Sinjai","12 Independence Way","033"
"13","Officina","Brazil","Solânea","9 Barnett Court","0514"
"18","Officina","Greece","Stefanavíkion","34279 Autumn Leaf Parkway","606"
"23","Officina","Serbia","Stepojevac","8 Northridge Terrace","6"
"43","Officina","Sweden","Tanumshede","7 Gale Circle","2"
"31","Officina","Philippines","Tiwi","108 Del Sol Way","14"
"17","Officina","Madagascar","Toliara","922 Cambridge Point","7179"
"9","Officina","Japan","Tomiya","04165 Straubel Place","579"
"40","Officina","Dominican Republic","Villa Bisonó","38 Shoshone Pass","098"
"8","Officina","China","Yangzhuang","9348 Little Fleur Point","11660"
