"codice","categoria","fornitore"
"JLNUDFYSOQVAGCB","Head-up Display","GMC"
"NRGAKTLIOXWEJPF","Head-up Display","Cadillac"
"FDNIREQGHXUMTVO","Telecamera 360","Volkswagen"
"MZEYUWVBTRKJIPS","Head-up Display","Hyundai"
"VDQGZXCFELWOJYS","Telecamera 360","Pontiac"
"GPTSAJKVXQIMELD","Head-up Display","Volvo"
"EGSRMAKJPIDWXZU","Telecamera 360","Volkswagen"
"NYZQPBJCDFTIKHG","Head-up Display","Bentley"
"VZRCBYQLKEJHAIN","Telecamera 360","Mitsubishi"
"PRKICFTJGUQMEAY","Head-up Display","Chevrolet"
"BNLDAMEVOXQFSIT","Mantenimento corsia","Dodge"
"KXQVAFMERTGYUDJ","Telecamera 360","Volkswagen"
"PBZHMJXWEGCNLSR","Telecamera 360","Buick"
"UKDIRLJBWQTNMYO","Guida Autonoma","Infiniti"
"GCDLBHYQVZJTRPF","Mantenimento corsia","Jeep"
"QWAJFVDOKUNBIZE","Telecamera 360","Mitsubishi"
"LIPMSONHXJWEDGT","Cruise Controll Adattivo","Nissan"
"JAKLBSXDZEUPVOF","Head-up Display","Mazda"
"ALVZIRWCJOTGKDU","Telecamera 360","Isuzu"
"ZXJCGUQKDPWOSNE","Telecamera 360","Ford"
"GTBEKCRVIUMLOSF","Cruise Controll Adattivo","Pontiac"
"BDHTFKAZWYMVRLS","Head-up Display","Daewoo"
"LEHBYAUXSTRZGOI","Head-up Display","Nissan"
"QVIGBHFNSRJTKDA","Telecamera 360","Toyota"
"XDLMQPECIOFJTGA","Telecamera 360","Ford"
"DWGLOQNHYACVJBX","Telecamera 360","Chevrolet"
"KAEPDTXVHRZJGOC","Head-up Display","Saab"
"UXZCLMKPFHRYQVI","Telecamera 360","Pontiac"
"IANVGWOJUKLCREP","Head-up Display","Mitsubishi"
"VXZYLSCGEQPURJH","Cruise Controll Adattivo","Pontiac"
"RHMOKWNVLAZJSIU","Telecamera 360","Toyota"
"LVFIBSGPJRTUHWD","Head-up Display","Chevrolet"
"ULMVWEIOCPRDKTH","Cruise Controll Adattivo","Land Rover"
"YOPUWHISJCEXLVQ","Telecamera 360","Dodge"
"VFEGMDQYZTRWBSL","Head-up Display","Nissan"
"CDNGTFRMSLAZBQE","Guida Autonoma","Hyundai"
"YNTWSEVLFROXAGD","Telecamera 360","Fillmore"
"PDZOXTCYUVNKHSF","Telecamera 360","Dodge"
"HFQPVJCATZBWYDX","Telecamera 360","Nissan"
"WYUCONSRVGTXDJK","Guida Autonoma","Pontiac"
"SLDEPIHZWTXOJVM","Telecamera 360","Infiniti"
"VTFSQHRKUMBOXAC","Guida Autonoma","Mazda"
"TQXSNMDVRBFKPAE","Head-up Display","Ford"
"LTVBKANXDYIQECU","Telecamera 360","Mercedes-Benz"
"CZEMYLSTOQIHWUP","Cruise Controll Adattivo","Acura"
"TVXYUSQNMPERLBH","Telecamera 360","Mercedes-Benz"
"IZDCPTXSAMFJBYE","Telecamera 360","Jeep"
"NQYEWHCPDSRLXMK","Head-up Display","Jeep"
"UOIAZMELSDVXJCP","Telecamera 360","Nissan"
"RBACHGKVTZFEWJQ","Telecamera 360","Chevrolet"
